team_id,system_id,micro_average_P,micro_average_R,micro_average_F,micro_average_SU,macro_average_P,macro_average_R,macro_average_F,macro_average_SU,weighted_average_P,weighted_average_R,weighted_average_F,weighted_average_SU
CompInsights,ssf_baseline_1,0.14989037273270878,0.7611336032388664,0.2504579517069109,0,0.13463816941077622,0.5648129401446105,0.2174430186233537,0.11810792412825351,0.011057144914191595,0.01902834008097166,0.01398675233493155,0.012306005398110663
CompInsights,ccr_baseline_1,0.18015873015873016,0.6892712550607287,0.28565436241610737,0,0.13463816941077622,0.5648129401446105,0.2174430186233537,0.15368484720517658,0.011057144914191595,0.01902834008097166,0.01398675233493155,0.012407219973009448
LSIS_LIA,upd_snippet_S4,0,0,0,0.3333333333333333,0,0,0,0.2333333333333333,0,0,0,0.008333333333333333
LSIS_LIA,upd_doc_S4_3,0.18421052631578946,0.00708502024291498,0.01364522417153996,0.3336707152496626,0.08384615384615385,0.004422360025808302,0.008401588807190398,0.23355855855855853,0.004101526004360013,0.0001771255060728745,0.00033958590337254224,0.008341767881241566
LSIS_LIA,upd_doc_S4_2,0.1891891891891892,0.00708502024291498,0.013658536585365854,0.33400809716599195,0.09134615384615385,0.004422360025808302,0.008436292116230358,0.23378378378378376,0.004761951105574587,0.0001771255060728745,0.00034154683791707386,0.008350202429149798
LSIS_LIA,no_update_S4,0,0,0,0.3333333333333333,0,0,0,0.2333333333333333,0,0,0,0.008333333333333333
LSIS_LIA,upd_document_S4,0,0,0,0.3333333333333333,0,0,0,0.2333333333333333,0,0,0,0.008333333333333333
LSIS_LIA,upd_snpt_S4_2,0.23636363636363636,0.013157894736842105,0.024928092042185997,0.3333333333333333,0.10833333333333334,0.01605957416302244,0.027972450134185773,0.2333333333333333,0.004942645074224021,0.0003289473684210526,0.0006168421052631579,0.008333333333333333
LSIS_LIA,upd_snpt_S4_3,0.23636363636363636,0.013157894736842105,0.024928092042185997,0.33400809716599195,0.10833333333333334,0.01605957416302244,0.027972450134185773,0.23477477477477474,0.004942645074224021,0.0003289473684210526,0.0006168421052631579,0.008350202429149798
LSIS_LIA,no_update_S4_2,1.0,0.0020242914979757085,0.00404040404040404,0.33468286099865047,0.05,0.0005747126436781609,0.0011363636363636365,0.23371647509578541,0.004402834008097166,5.060728744939271e-05,0.00010006440927493558,0.008367071524966262
LSIS_LIA,no_update_S4_3,0.5,0.0020242914979757085,0.00403225806451613,0.33400809716599195,0.05,0.0005747126436781609,0.0011363636363636365,0.2333333333333333,0.004402834008097166,5.060728744939271e-05,0.00010006440927493558,0.008350202429149798
WiscDEFT,run1,0,0,0,0.33299595141700405,0,0,0,0.23249999999999996,0,0,0,0.0083248987854251
WiscDEFT,test,0,0,0,0.3333333333333333,0,0,0,0.2333333333333333,0,0,0,0.008333333333333333
WiscDEFT,run2,0,0,0,0.33299595141700405,0,0,0,0.23249999999999996,0,0,0,0.0083248987854251
WiscDEFT,baseline2,0,0,0,0.3323211875843455,0,0,0,0.21416666666666662,0,0,0,0.008308029689608637
WiscDEFT,baseline,0,0,0,0.3323211875843455,0,0,0,0.21416666666666662,0,0,0,0.008308029689608637
IRIT,sig_irit_3,0.24489795918367346,0.024291497975708502,0.04419889502762431,0.3343454790823212,0.05555555555555556,0.00331103105163836,0.006249595233469335,0.2333333333333333,0.0106612685560054,0.0006072874493927126,0.001149118766515552,0.00840080971659919
IRIT,sig_irit_2,0.74,0.22469635627530365,0.3447204968944099,0.4568151147098516,0.09495875865840321,0.031170051324285714,0.046934072897050684,0.24289797635056876,0.01336572904659044,0.0056174089068825915,0.007910258628190628,0.011572199730094468
